No,Tanggal,Nama,Jenis Sepatu,Jenis cuci,Harga,Discount,Total harga,Keterangan,Status Pembayaran,Kang Cuci,is_synthetic
279,2026-03-09,Hesti,UnderArmour,Deep Clean,60000,10000,50000,Synthetic,Paid,Vian,True
280,2026-03-09,Joko,Aerostreet,Deep Clean,65000,10000,55000,Synthetic,Paid,Vian,True
281,2026-03-09,Oscar,Patrobas,Deep Clean,40000,0,40000,Synthetic,Paid,Amory,True
282,2026-03-12,Karin,Zara,Deep Clean,60000,5000,55000,Synthetic,Paid,Vian,True
283,2026-03-13,Uma,Vans,Deep Clean,45000,5000,40000,Synthetic,Paid,Rio,True
284,2026-03-14,Wulan,Zara,Deep Clean,50000,10000,40000,Synthetic,Paid,Vian,True
285,2026-03-17,Eko,Wakai,Deep Clean,45000,5000,40000,Synthetic,Paid,Amory,True
286,2026-03-18,Eko,Asics,Deep Clean,40000,5000,35000,Synthetic,Paid,Rio,True
287,2026-03-19,Vino,UnderArmour,Deep Clean,40000,0,40000,Synthetic,Paid,Vian,True
288,2026-03-19,Lisa,Adidas,Deep Clean,45000,5000,40000,Synthetic,Paid,Rio,True
289,2026-03-22,Reza,Compass,Fast Clean,35000,10000,25000,Synthetic,Paid,Rio,True
290,2026-03-22,Hesti,Onitsuka,Deep Clean,60000,0,60000,Synthetic,Paid,Amory,True
291,2026-03-27,Fajar,Onitsuka,Deep Clean,40000,10000,30000,Synthetic,Paid,Vian,True
292,2026-03-28,Alif,Asics,Deep Clean,60000,0,60000,Synthetic,Paid,Vian,True
293,2026-03-29,Qori,Converse,Fast Clean,35000,5000,30000,Synthetic,Paid,Vian,True
294,2026-03-31,Alif,UnderArmour,Deep Clean,50000,5000,45000,Synthetic,Paid,Rio,True
295,2026-04-01,Sari,NB,Deep Clean,65000,0,65000,Synthetic,Paid,Rio,True
296,2026-04-03,Yogi,On Cloud,Deep Clean,45000,0,45000,Synthetic,Paid,Rio,True
297,2026-04-06,Zara,Puma,Deep Clean,50000,5000,45000,Synthetic,Paid,Rio,True
298,2026-04-06,Eko,On Cloud,Deep Clean,40000,0,40000,Synthetic,Paid,Amory,True
299,2026-04-09,Bella,Vans,Fast Clean,35000,0,35000,Synthetic,Paid,Amory,True
300,2026-04-13,Qori,Zara,Deep Clean,45000,5000,40000,Synthetic,Paid,Amory,True
